sample_id,bi_group,source_sheet
M104,Hypermitotic,SuppTable4_left
M105,Hypermitotic,SuppTable4_left
M107,Hypermitotic,SuppTable4_left
M108,Hypermitotic,SuppTable4_left
M111,Hypermitotic,SuppTable4_left
M117,Hypermitotic,SuppTable4_left
M122,Hypermitotic,SuppTable4_left
M123,Hypermitotic,SuppTable4_left
M124,Hypermitotic,SuppTable4_left
M126,Hypermitotic,SuppTable4_left
M132,Hypermitotic,SuppTable4_left
M146,Hypermitotic,SuppTable4_left
M151,Hypermitotic,SuppTable4_left
M159,Hypermitotic,SuppTable4_left
M162,Hypermitotic,SuppTable4_left
M170,Hypermitotic,SuppTable4_left
M189,Hypermitotic,SuppTable4_left
M209,Hypermitotic,SuppTable4_left
M210,Hypermitotic,SuppTable4_left
M217,Hypermitotic,SuppTable4_left
M219,Hypermitotic,SuppTable4_left
M225,Hypermitotic,SuppTable4_left
M228,Hypermitotic,SuppTable4_left
M232,Hypermitotic,SuppTable4_left
M24,Hypermitotic,SuppTable4_left
M25,Hypermitotic,SuppTable4_left
M29,Hypermitotic,SuppTable4_left
M33,Hypermitotic,SuppTable4_left
M34,Hypermitotic,SuppTable4_left
M36,Hypermitotic,SuppTable4_left
M37,Hypermitotic,SuppTable4_left
M38,Hypermitotic,SuppTable4_left
M41,Hypermitotic,SuppTable4_left
M45,Hypermitotic,SuppTable4_left
M99,Hypermitotic,SuppTable4_left
